Step;brand_0;avg_purchases_0;std0;min0;max0;brand_1;avg_purchases_1;std1;min1;max1;brand_2;avg_purchases_2;std2;min2;max2;brand_3;avg_purchases_3;std3;min3;max3



0;0;23.733333333333334;4,0083;19,0000;32,0000;1;28.733333333333334;5,7875;21,0000;39,0000;2;17.4;3,8877;12,0000;26,0000;3;21.866666666666667;4,8236;14,0000;32,0000
1;0;25.166666666666668;4,8215;19,0000;37,0000;1;29.6;5,0213;21,0000;39,0000;2;17.9;4,2374;10,0000;26,0000;3;23.233333333333334;4,7028;14,0000;33,0000
2;0;24.822222222222223;4,7687;15,0000;37,0000;1;29.42222222222222;4,9059;21,0000;42,0000;2;18.244444444444444;4,2542;10,0000;27,0000;3;24.711111111111112;5,0210;14,0000;35,0000
3;0;25.166666666666668;4,4728;15,0000;37,0000;1;29.85;5,2781;20,0000;42,0000;2;18.033333333333335;4,2902;10,0000;27,0000;3;25.4;5,2568;14,0000;38,0000
4;0;25.186666666666667;4,5491;15,0000;37,0000;1;30.253333333333334;5,2275;20,0000;43,0000;2;18.706666666666667;4,4442;10,0000;29,0000;3;25.813333333333333;5,5670;14,0000;38,0000
5;0;25.677777777777777;4,7234;15,0000;37,0000;1;30.0;5,4153;19,0000;43,0000;2;18.744444444444444;4,3924;10,0000;29,0000;3;26.177777777777777;5,4455;14,0000;38,0000
6;0;26.142857142857146;4,9253;15,0000;41,0000;1;29.876190476190477;5,2380;19,0000;43,0000;2;19.00952380952381;4,2392;10,0000;29,0000;3;26.123809523809523;5,4326;14,0000;38,0000
7;0;26.266666666666666;4,9548;15,0000;41,0000;1;29.833333333333332;5,0332;19,0000;43,0000;2;19.241666666666667;4,2683;10,0000;29,0000;3;26.333333333333336;5,5281;14,0000;39,0000
8;0;26.4;4,9868;15,0000;41,0000;1;29.77777777777778;4,9605;19,0000;43,0000;2;19.11851851851852;4,3298;10,0000;29,0000;3;26.370370370370374;5,4850;14,0000;39,0000
9;0;26.4;4,9003;15,0000;41,0000;1;29.76;4,8958;19,0000;43,0000;2;19.033333333333335;4,2732;10,0000;29,0000;3;26.466666666666665;5,3491;14,0000;39,0000
10;0;26.448484848484846;5,1103;15,0000;46,0000;1;29.842424242424244;4,9767;19,0000;45,0000;2;19.115151515151517;4,2847;10,0000;29,0000;3;26.721212121212123;5,3904;14,0000;39,0000
11;0;26.322222222222223;5,0822;15,0000;46,0000;1;29.866666666666667;5,1702;19,0000;48,0000;2;19.066666666666666;4,1650;10,0000;29,0000;3;26.83888888888889;5,2896;14,0000;39,0000
12;0;26.33846153846154;5,1039;15,0000;46,0000;1;29.846153846153847;5,1630;19,0000;48,0000;2;18.974358974358974;4,1535;10,0000;29,0000;3;26.800000000000004;5,2726;14,0000;39,0000
13;0;26.385714285714286;5,1762;15,0000;46,0000;1;29.795238095238094;5,1967;19,0000;48,0000;2;19.02857142857143;4,2256;10,0000;30,0000;3;26.795238095238098;5,1607;14,0000;39,0000
14;0;26.22222222222222;5,1508;15,0000;46,0000;1;29.697777777777777;5,1293;19,0000;48,0000;2;18.982222222222223;4,1393;10,0000;30,0000;3;26.808888888888887;5,2248;14,0000;39,0000
