Step;avg_deliberation;avg_imitation;avg_repetition;avg_social;avg_utility;std_deliberation;std_imitation;std_repetition;std_social;std_utility
0;0.0;0.0;0.0;0.0;91.26666666666667;0,0000;0,0000;0,0000;0,0000;7,8237
1;19.2;0.0;0.06666666666666667;0.0;79.4;3,3209;0,0000;0,2582;0,0000;8,7896
2;10.733333333333333;0.0;0.0;0.0;96.13333333333334;3,0814;0,0000;0,0000;0,0000;10,9601
3;11.266666666666667;0.0;0.0;0.0;90.66666666666667;2,7377;0,0000;0,0000;0,0000;7,4706
4;9.4;0.0;0.0;0.0;94.66666666666667;3,1578;0,0000;0,0000;0,0000;9,7736
5;10.666666666666666;0.0;0.0;0.0;89.2;4,4024;0,0000;0,0000;0,0000;9,2288
6;10.266666666666667;0.0;0.0;0.0;97.4;2,2190;0,0000;0,0000;0,0000;11,9451
7;10.6;0.0;0.0;0.0;94.26666666666667;3,8322;0,0000;0,0000;0,0000;11,2724
8;10.133333333333333;0.0;0.0;0.0;93.73333333333333;3,0441;0,0000;0,0000;0,0000;8,5228
9;9.733333333333333;0.0;0.06666666666666667;0.0;92.2;2,6313;0,0000;0,2582;0,0000;11,2326
10;9.0;0.0;0.0;0.0;91.93333333333334;3,1396;0,0000;0,0000;0,0000;8,5646
11;8.533333333333333;0.0;0.0;0.0;92.2;3,3989;0,0000;0,0000;0,0000;6,7422
12;9.0;0.0;0.0;0.0;88.4;2,7775;0,0000;0,0000;0,0000;10,0485
13;10.6;0.0;0.06666666666666667;0.0;93.06666666666666;3,6214;0,0000;0,2582;0,0000;8,3278
14;11.0;0.0;0.0;0.0;94.06666666666666;3,7033;0,0000;0,0000;0,0000;9,6323
15;11.8;0.0;0.0;0.0;93.93333333333334;3,6292;0,0000;0,0000;0,0000;7,9684
16;9.266666666666667;0.0;0.0;0.0;92.8;2,9633;0,0000;0,0000;0,0000;10,9948
17;10.066666666666666;0.0;0.0;0.0;90.4;3,0582;0,0000;0,0000;0,0000;9,7673
18;8.533333333333333;0.0;0.0;0.0;91.46666666666667;2,5598;0,0000;0,0000;0,0000;8,1492
19;8.8;0.0;0.0;0.0;92.0;2,0424;0,0000;0,0000;0,0000;6,0474
20;11.466666666666667;0.0;0.0;0.0;97.86666666666666;2,7740;0,0000;0,0000;0,0000;8,3227
21;10.333333333333334;0.0;0.0;0.0;91.06666666666666;2,1602;0,0000;0,0000;0,0000;10,9640
22;10.0;0.0;0.06666666666666668;0.0;88.93333333333334;3,8914;0,0000;0,2582;0,0000;10,0461
23;10.4;0.0;0.0;0.0;91.93333333333334;2,8983;0,0000;0,0000;0,0000;11,5540
24;12.466666666666667;0.0;0.0;0.0;93.06666666666666;3,3778;0,0000;0,0000;0,0000;10,0176
25;10.866666666666667;0.0;0.06666666666666668;0.0;92.93333333333334;3,0675;0,0000;0,2582;0,0000;8,1981
26;11.466666666666667;0.0;0.06666666666666668;0.0;90.33333333333333;3,5024;0,0000;0,2582;0,0000;7,7059
27;11.066666666666666;0.0;0.13333333333333333;0.0;89.4;3,1952;0,0000;0,3519;0,0000;10,6624
28;10.466666666666667;0.0;0.0;0.0;97.13333333333334;3,9437;0,0000;0,0000;0,0000;10,2530
29;10.6;0.0;0.0;0.0;92.8;2,7203;0,0000;0,0000;0,0000;10,1924
30;11.0;0.0;0.0;0.0;90.53333333333333;3,1168;0,0000;0,0000;0,0000;10,3016
31;10.066666666666666;0.0;0.06666666666666668;0.0;92.0;2,6583;0,0000;0,2582;0,0000;6,9796
32;10.0;0.0;0.0;0.0;93.93333333333334;2,5912;0,0000;0,0000;0,0000;5,5609
33;10.4;0.0;0.0;0.0;90.4;3,2027;0,0000;0,0000;0,0000;10,1122
34;11.066666666666666;0.0;0.0;0.0;94.26666666666667;3,4115;0,0000;0,0000;0,0000;9,7429
35;9.066666666666666;0.0;0.0;0.0;91.13333333333334;2,6313;0,0000;0,0000;0,0000;8,7331
36;9.333333333333334;0.0;0.0;0.0;92.46666666666667;3,3947;0,0000;0,0000;0,0000;7,9180
37;10.6;0.0;0.0;0.0;92.73333333333333;3,0190;0,0000;0,0000;0,0000;9,4677
38;11.266666666666667;0.0;0.0;0.0;89.33333333333333;3,2616;0,0000;0,0000;0,0000;10,3900
39;9.2;0.0;0.0;0.0;93.06666666666666;2,7568;0,0000;0,0000;0,0000;10,4503
40;8.733333333333333;0.0;0.0;0.0;90.93333333333334;2,3135;0,0000;0,0000;0,0000;9,9245
41;10.2;0.0;0.0;0.0;90.8;3,5092;0,0000;0,0000;0,0000;12,1255
42;10.133333333333333;0.0;0.0;0.0;89.73333333333333;3,7007;0,0000;0,0000;0,0000;8,3192
43;10.466666666666667;0.0;0.0;0.0;93.86666666666666;2,7220;0,0000;0,0000;0,0000;10,1198
44;11.933333333333334;0.0;0.0;0.0;92.33333333333333;3,4942;0,0000;0,0000;0,0000;5,9482
45;9.6;0.0;0.06666666666666668;0.0;86.46666666666667;3,3975;0,0000;0,2582;0,0000;9,0227
46;9.866666666666667;0.0;0.0;0.0;91.6;3,9255;0,0000;0,0000;0,0000;11,2173
